human,gender,cause,date_of_birth,date_of_death,country,occupation,religion
Abdul Aziz al-Hakim,male,natural causes,1953-01-01T00:00:00Z,2009-08-26T00:00:00Z,Iraq,politician,Islam
Aaron Russo,male,natural causes,1943-02-14T00:00:00Z,2007-08-24T00:00:00Z,United States of America,entrepreneur,Judaism
Charles Curtis,male,natural causes,1860-01-25T00:00:00Z,1936-02-08T00:00:00Z,United States of America,prosecutor,Methodism
Giuseppina Gabriela Bonino,female,natural causes,1843-01-01T00:00:00Z,1906-01-01T00:00:00Z,Kingdom of Italy,nun,Catholic Church
Jeff Hanneman,male,natural causes,1964-01-31T00:00:00Z,2013-05-02T00:00:00Z,United States of America,musician,atheism
Taylor Caldwell,female,natural causes,1900-09-07T00:00:00Z,1985-08-30T00:00:00Z,United Kingdom of Great Britain and Ireland,writer,Catholic Church
Nusrat Bhutto,female,natural causes,1929-03-23T00:00:00Z,2011-10-23T00:00:00Z,Pakistan,politician,Shia Islam
Jeff Hanneman,male,natural causes,1964-01-31T00:00:00Z,2013-05-02T00:00:00Z,United States of America,guitarist,atheism
Taylor Caldwell,female,natural causes,1900-09-07T00:00:00Z,1985-08-30T00:00:00Z,United Kingdom of Great Britain and Ireland,novelist,Catholic Church
Savitri Devi,female,natural causes,1905-09-30T00:00:00Z,1982-10-22T00:00:00Z,France,writer,Hinduism
Jean-Claude Duvalier,male,natural causes,1951-07-03T00:00:00Z,2014-10-04T00:00:00Z,Haiti,politician,Catholicism
Savitri Devi,female,natural causes,1905-09-30T00:00:00Z,1982-10-22T00:00:00Z,France,poet,Hinduism
Edel Quinn,female,natural causes,1907-09-14T00:00:00Z,1944-05-12T00:00:00Z,Ireland,missionary,Catholic Church
Jeff Hanneman,male,natural causes,1964-01-31T00:00:00Z,2013-05-02T00:00:00Z,United States of America,songwriter,atheism
Levi P. Morton,male,natural causes,1824-05-16T00:00:00Z,1920-05-16T00:00:00Z,United States of America,politician,Episcopal Church
Lurleen Brigham Burns Wallace,female,natural causes,1926-09-19T00:00:00Z,1968-05-07T00:00:00Z,United States of America,politician,Methodism
Nilde Iotti,female,natural causes,1920-04-10T00:00:00Z,1999-12-04T00:00:00Z,Italy,politician,atheism
Matilde of the Sacred Heart,female,natural causes,1841-05-30T00:00:00Z,1902-12-17T00:00:00Z,Spain,priest,Catholic Church
Mary McCarthy,female,natural causes,1912-06-21T00:00:00Z,1989-10-25T00:00:00Z,United States of America,writer,atheism
Levi P. Morton,male,natural causes,1824-05-16T00:00:00Z,1920-05-16T00:00:00Z,United States of America,diplomat,Episcopal Church
Brigid Brophy,female,natural causes,1929-06-12T00:00:00Z,1995-08-07T00:00:00Z,United Kingdom,writer,atheism
Brigid Brophy,female,natural causes,1929-06-12T00:00:00Z,1995-08-07T00:00:00Z,United Kingdom,author,atheism
Taylor Caldwell,female,natural causes,1900-09-07T00:00:00Z,1985-08-30T00:00:00Z,United Kingdom of Great Britain and Ireland,science fiction writer,Catholic Church
Mary McCarthy,female,natural causes,1912-06-21T00:00:00Z,1989-10-25T00:00:00Z,United States of America,novelist,atheism
Mary McCarthy,female,natural causes,1912-06-21T00:00:00Z,1989-10-25T00:00:00Z,United States of America,screenwriter,atheism
Brigid Brophy,female,natural causes,1929-06-12T00:00:00Z,1995-08-07T00:00:00Z,United Kingdom,novelist,atheism
Mary McCarthy,female,natural causes,1912-06-21T00:00:00Z,1989-10-25T00:00:00Z,United States of America,journalist,atheism
Agnes Mary Mansour,female,natural causes,1931-04-10T00:00:00Z,2004-12-17T00:00:00Z,United States of America,politician,Catholic Church
Agnes Mary Mansour,female,natural causes,1931-04-10T00:00:00Z,2004-12-17T00:00:00Z,United States of America,theologian,Catholic Church
Brigid Brophy,female,natural causes,1929-06-12T00:00:00Z,1995-08-07T00:00:00Z,United Kingdom,essayist,atheism
Grazyna Miller,female,natural causes,1957-01-29T00:00:00Z,2009-08-17T00:00:00Z,Poland,writer,Catholic Church
Nusrat Bhutto,female,natural causes,1929-03-23T00:00:00Z,2011-10-23T00:00:00Z,Iran,politician,Shia Islam
Agnes Mary Mansour,female,natural causes,1931-04-10T00:00:00Z,2004-12-17T00:00:00Z,United States of America,university teacher,Catholic Church
Grazyna Miller,female,natural causes,1957-01-29T00:00:00Z,2009-08-17T00:00:00Z,Poland,poet,Catholic Church
John Boswell,male,natural causes,1947-03-20T00:00:00Z,1994-12-24T00:00:00Z,United States of America,historian,Catholic Church
Grazyna Miller,female,natural causes,1957-01-29T00:00:00Z,2009-08-17T00:00:00Z,Poland,translator,Catholic Church
L. Ron Hubbard,male,natural causes,1911-03-13T00:00:00Z,1986-01-24T00:00:00Z,United States of America,musician,Scientology
Mary McCarthy,female,natural causes,1912-06-21T00:00:00Z,1989-10-25T00:00:00Z,United States of America,autobiographer,atheism
Grazyna Miller,female,natural causes,1957-01-29T00:00:00Z,2009-08-17T00:00:00Z,Poland,teacher,Catholic Church
Alfonso XI of Castile,male,natural causes,1311-08-21T00:00:00Z,1350-04-04T00:00:00Z,Crown of Castile,politician,Catholicism
Taylor Caldwell,female,natural causes,1900-09-07T00:00:00Z,1985-08-30T00:00:00Z,United Kingdom,writer,Catholic Church
Elbridge Gerry,male,natural causes,1744-07-17T00:00:00Z,1814-11-23T00:00:00Z,United States of America,politician,Episcopal Church
Taylor Caldwell,female,natural causes,1900-09-07T00:00:00Z,1985-08-30T00:00:00Z,United Kingdom,novelist,Catholic Church
L. Ron Hubbard,male,natural causes,1911-03-13T00:00:00Z,1986-01-24T00:00:00Z,United States of America,military officer,Scientology
Mary McCarthy,female,natural causes,1912-06-21T00:00:00Z,1989-10-25T00:00:00Z,United States of America,literary critic,atheism
Edward Drinker Cope,male,natural causes,1840-07-28T00:00:00Z,1897-04-12T00:00:00Z,United States of America,zoologist,Religious Society of Friends
Brigid Brophy,female,natural causes,1929-06-12T00:00:00Z,1995-08-07T00:00:00Z,United Kingdom,biographer,atheism
Edward Drinker Cope,male,natural causes,1840-07-28T00:00:00Z,1897-04-12T00:00:00Z,United States of America,geologist,Religious Society of Friends
Thomas R. Marshall,male,natural causes,1854-03-14T00:00:00Z,1925-06-01T00:00:00Z,United States of America,politician,Presbyterianism
Gillian Rose,female,natural causes,1947-09-20T00:00:00Z,1995-12-09T00:00:00Z,United Kingdom,philosopher,Anglicanism
Gillian Rose,female,natural causes,1947-09-20T00:00:00Z,1995-12-09T00:00:00Z,United Kingdom,writer,Anglicanism
Léon M'ba,male,natural causes,1902-02-09T00:00:00Z,1967-11-27T00:00:00Z,Gabon,politician,Catholic Church
Gillian Rose,female,natural causes,1947-09-20T00:00:00Z,1995-12-09T00:00:00Z,United Kingdom,author,Anglicanism
Taylor Caldwell,female,natural causes,1900-09-07T00:00:00Z,1985-08-30T00:00:00Z,United Kingdom,science fiction writer,Catholic Church
Gillian Rose,female,natural causes,1947-09-20T00:00:00Z,1995-12-09T00:00:00Z,United Kingdom,sociologist,Anglicanism
Gillian Rose,female,natural causes,1947-09-20T00:00:00Z,1995-12-09T00:00:00Z,United Kingdom,university teacher,Anglicanism
Victoriano Huerta,male,natural causes,1850-12-22T00:00:00Z,1916-01-13T00:00:00Z,United States of America,politician,Catholicism
Mercedes of Orléans,female,natural causes,1860-06-24T00:00:00Z,1878-06-26T00:00:00Z,Spain,queen consort,Catholic Church
Grazyna Miller,female,natural causes,1957-01-29T00:00:00Z,2009-08-17T00:00:00Z,Italy,writer,Catholic Church
Grazyna Miller,female,natural causes,1957-01-29T00:00:00Z,2009-08-17T00:00:00Z,Italy,poet,Catholic Church
Victoriano Huerta,male,natural causes,1850-12-22T00:00:00Z,1916-01-13T00:00:00Z,United States of America,diplomat,Catholicism
Olga San Juan,female,natural causes,1927-03-16T00:00:00Z,2009-01-03T00:00:00Z,United States of America,actor,Catholic Church
S. Rajaratnam,male,natural causes,1915-02-25T00:00:00Z,2006-02-22T00:00:00Z,Singapore,politician,Hinduism
Grazyna Miller,female,natural causes,1957-01-29T00:00:00Z,2009-08-17T00:00:00Z,Italy,translator,Catholic Church
Grazyna Miller,female,natural causes,1957-01-29T00:00:00Z,2009-08-17T00:00:00Z,Italy,teacher,Catholic Church
E. L. Doctorow,male,natural causes,1931-01-06T00:00:00Z,2015-07-21T00:00:00Z,United States of America,novelist,Judaism
John Harsanyi,male,natural causes,1920-05-29T00:00:00Z,2000-08-09T00:00:00Z,Hungary,professor,atheism
Lemmy Kilmister,male,natural causes,1945-12-24T00:00:00Z,2015-12-28T00:00:00Z,United Kingdom,singer-songwriter,agnosticism
E. L. Doctorow,male,natural causes,1931-01-06T00:00:00Z,2015-07-21T00:00:00Z,United States of America,university teacher,Judaism
John Harsanyi,male,natural causes,1920-05-29T00:00:00Z,2000-08-09T00:00:00Z,Hungary,economist,atheism
Lemmy Kilmister,male,natural causes,1945-12-24T00:00:00Z,2015-12-28T00:00:00Z,United Kingdom,bassist,agnosticism
Anthony Burgess,male,natural causes,1917-02-25T00:00:00Z,1993-11-22T00:00:00Z,United Kingdom,children's writer,Catholic Church
Anthony Burgess,male,natural causes,1917-02-25T00:00:00Z,1993-11-22T00:00:00Z,United Kingdom,autobiographer,Catholic Church
Victoriano Huerta,male,natural causes,1850-12-22T00:00:00Z,1916-01-13T00:00:00Z,United States of America,military personnel,Catholicism
E. L. Doctorow,male,natural causes,1931-01-06T00:00:00Z,2015-07-21T00:00:00Z,United States of America,essayist,Judaism
Albert Kanene Obiefuna,male,natural causes,1930-01-30T00:00:00Z,2011-05-11T00:00:00Z,Nigeria,theologian,Catholic Church
Don Rickles,male,natural causes,1926-05-08T00:00:00Z,2017-04-06T00:00:00Z,United States of America,actor,Jewish people
Albert Kanene Obiefuna,male,natural causes,1930-01-30T00:00:00Z,2011-05-11T00:00:00Z,Nigeria,university teacher,Catholic Church
Abdesslam Yassine,male,natural causes,1928-09-20T00:00:00Z,2012-12-13T00:00:00Z,Morocco,writer,Islam
Anthony Burgess,male,natural causes,1917-02-25T00:00:00Z,1993-11-22T00:00:00Z,United Kingdom,literary critic,Catholic Church
Anthony Burgess,male,natural causes,1917-02-25T00:00:00Z,1993-11-22T00:00:00Z,United Kingdom,science fiction writer,Catholic Church
Don Rickles,male,natural causes,1926-05-08T00:00:00Z,2017-04-06T00:00:00Z,United States of America,dancer,Jewish people
Lemmy Kilmister,male,natural causes,1945-12-24T00:00:00Z,2015-12-28T00:00:00Z,United Kingdom,autobiographer,agnosticism
Edward Drinker Cope,male,natural causes,1840-07-28T00:00:00Z,1897-04-12T00:00:00Z,United States of America,anatomist,Religious Society of Friends
Don Rickles,male,natural causes,1926-05-08T00:00:00Z,2017-04-06T00:00:00Z,United States of America,voice actor,Jewish people
Aubrey Beardsley,male,natural causes,1872-08-21T00:00:00Z,1898-03-16T00:00:00Z,United Kingdom of Great Britain and Ireland,writer,Catholic Church
Aubrey Beardsley,male,natural causes,1872-08-21T00:00:00Z,1898-03-16T00:00:00Z,United Kingdom of Great Britain and Ireland,poet,Catholic Church
Anthony Burgess,male,natural causes,1917-02-25T00:00:00Z,1993-11-22T00:00:00Z,United Kingdom,literary scholar,Catholic Church
Hilary Putnam,male,natural causes,1926-07-31T00:00:00Z,2016-03-13T00:00:00Z,United States of America,philosopher,atheism
Hilary Putnam,male,natural causes,1926-07-31T00:00:00Z,2016-03-13T00:00:00Z,United States of America,university teacher,atheism
Victoriano Huerta,male,natural causes,1850-12-22T00:00:00Z,1916-01-13T00:00:00Z,Mexico,politician,Catholicism
Afonso V of Portugal,male,natural causes,1432-01-15T00:00:00Z,1481-08-28T00:00:00Z,Portugal,king,Catholic Church
Victoriano Huerta,male,natural causes,1850-12-22T00:00:00Z,1916-01-13T00:00:00Z,Mexico,diplomat,Catholicism
Nusrat Fateh Ali Khan,male,natural causes,1948-10-13T00:00:00Z,1997-08-16T00:00:00Z,Pakistan,composer,Islam
Christopher Isherwood,male,natural causes,1904-08-26T00:00:00Z,1986-01-04T00:00:00Z,United Kingdom,novelist,Hinduism
Christopher Isherwood,male,natural causes,1904-08-26T00:00:00Z,1986-01-04T00:00:00Z,United Kingdom,screenwriter,Hinduism
Christopher Isherwood,male,natural causes,1904-08-26T00:00:00Z,1986-01-04T00:00:00Z,United Kingdom,university teacher,Hinduism
Elmore Leonard,male,natural causes,1925-10-11T00:00:00Z,2013-08-20T00:00:00Z,United States of America,author,Catholicism
Elmore Leonard,male,natural causes,1925-10-11T00:00:00Z,2013-08-20T00:00:00Z,United States of America,novelist,Catholicism
Elmore Leonard,male,natural causes,1925-10-11T00:00:00Z,2013-08-20T00:00:00Z,United States of America,screenwriter,Catholicism
Elmore Leonard,male,natural causes,1925-10-11T00:00:00Z,2013-08-20T00:00:00Z,United States of America,film producer,Catholicism
Aaron Russo,male,natural causes,1943-02-14T00:00:00Z,2007-08-24T00:00:00Z,United States of America,film director,Judaism
Charles Curtis,male,natural causes,1860-01-25T00:00:00Z,1936-02-08T00:00:00Z,United States of America,lawyer,Methodism
Hilary Putnam,male,natural causes,1926-07-31T00:00:00Z,2016-03-13T00:00:00Z,United States of America,non-fiction writer,atheism
Aaron Russo,male,natural causes,1943-02-14T00:00:00Z,2007-08-24T00:00:00Z,United States of America,film producer,Judaism
Anthony de Mello,male,natural causes,1931-09-03T00:00:00Z,1987-06-02T00:00:00Z,India,writer,Christian
Abdul Aziz al-Hakim,male,natural causes,1953-01-01T00:00:00Z,2009-08-26T00:00:00Z,Iraq,theologian,Islam
Don Rickles,male,natural causes,1926-05-08T00:00:00Z,2017-04-06T00:00:00Z,United States of America,stand-up comedian,Jewish people
Nusrat Fateh Ali Khan,male,natural causes,1948-10-13T00:00:00Z,1997-08-16T00:00:00Z,Pakistan,music pedagogue,Islam
Abdelbaset al-Megrahi,male,natural causes,1952-04-01T00:00:00Z,2012-05-20T00:00:00Z,Libya,soldier,Islam
E. L. Doctorow,male,natural causes,1931-01-06T00:00:00Z,2015-07-21T00:00:00Z,United States of America,faculty member,Judaism
George Brinton McClellan,male,natural causes,1826-12-03T00:00:00Z,1885-10-29T00:00:00Z,United States of America,military officer,Presbyterianism
Ed Gein,male,natural causes,1906-08-27T00:00:00Z,1984-07-26T00:00:00Z,United States of America,criminal,Apostasy in Catholicism
Kōmei,male,natural causes,1831-07-22T00:00:00Z,1867-01-30T00:00:00Z,Japan,ruler,Shinto
Abu Talib,male,natural causes,1939-02-24T00:00:00Z,2009-10-08T00:00:00Z,United States of America,singer,Islam
Robert Runcie,male,natural causes,1921-10-02T00:00:00Z,2000-07-11T00:00:00Z,United Kingdom,politician,Anglicanism
Frank Reynolds,male,natural causes,1923-11-29T00:00:00Z,1983-07-20T00:00:00Z,United States of America,journalist,Catholic Church
Abu Talib,male,natural causes,1939-02-24T00:00:00Z,2009-10-08T00:00:00Z,United States of America,guitarist,Islam
Abu Talib,male,natural causes,1939-02-24T00:00:00Z,2009-10-08T00:00:00Z,United States of America,singer-songwriter,Islam
Abu Talib,male,natural causes,1939-02-24T00:00:00Z,2009-10-08T00:00:00Z,United States of America,jazz musician,Islam
Léon M'ba,male,natural causes,1902-02-09T00:00:00Z,1967-11-27T00:00:00Z,France,politician,Catholic Church
Rod Serling,male,natural causes,1924-12-25T00:00:00Z,1975-06-28T00:00:00Z,United States of America,novelist,Unitarian Universalism
Rod Serling,male,natural causes,1924-12-25T00:00:00Z,1975-06-28T00:00:00Z,United States of America,screenwriter,Unitarian Universalism
Rod Serling,male,natural causes,1924-12-25T00:00:00Z,1975-06-28T00:00:00Z,United States of America,film producer,Unitarian Universalism
Robert Runcie,male,natural causes,1921-10-02T00:00:00Z,2000-07-11T00:00:00Z,United Kingdom,Anglican priest,Anglicanism
Jacques Marquette,male,natural causes,1637-06-01T00:00:00Z,1675-05-18T00:00:00Z,France,missionary,Catholicism
John Boswell,male,natural causes,1947-03-20T00:00:00Z,1994-12-24T00:00:00Z,United States of America,linguist,Catholic Church
L. Ron Hubbard,male,natural causes,1911-03-13T00:00:00Z,1986-01-24T00:00:00Z,United States of America,novelist,Scientology
Laurence Sterne,male,natural causes,1713-11-24T00:00:00Z,1768-03-18T00:00:00Z,Kingdom of Great Britain,religious servant,Anglicanism
Laurence Sterne,male,natural causes,1713-11-24T00:00:00Z,1768-03-18T00:00:00Z,Kingdom of Great Britain,writer,Anglicanism
Laurence Sterne,male,natural causes,1713-11-24T00:00:00Z,1768-03-18T00:00:00Z,Kingdom of Great Britain,novelist,Anglicanism
Jacques Marquette,male,natural causes,1637-06-01T00:00:00Z,1675-05-18T00:00:00Z,France,explorer,Catholicism
Edward Drinker Cope,male,natural causes,1840-07-28T00:00:00Z,1897-04-12T00:00:00Z,United States of America,paleontologist,Religious Society of Friends
Jacques Marquette,male,natural causes,1637-06-01T00:00:00Z,1675-05-18T00:00:00Z,France,Catholic priest,Catholicism
Rod Serling,male,natural causes,1924-12-25T00:00:00Z,1975-06-28T00:00:00Z,United States of America,science fiction writer,Unitarian Universalism
John Reed,male,natural causes,1887-10-22T00:00:00Z,1920-10-17T00:00:00Z,United States of America,trade unionist,atheism
Edward Drinker Cope,male,natural causes,1840-07-28T00:00:00Z,1897-04-12T00:00:00Z,United States of America,university teacher,Religious Society of Friends
John Reed,male,natural causes,1887-10-22T00:00:00Z,1920-10-17T00:00:00Z,United States of America,screenwriter,atheism
"Eric Lubbock, 4th Baron Avebury",male,natural causes,1928-09-29T00:00:00Z,2016-02-14T00:00:00Z,United Kingdom,politician,Buddhism
John Reed,male,natural causes,1887-10-22T00:00:00Z,1920-10-17T00:00:00Z,United States of America,journalist,atheism
Thomas A. Hendricks,male,natural causes,1819-09-07T00:00:00Z,1885-11-25T00:00:00Z,United States of America,politician,Episcopal Church
Laurence Sterne,male,natural causes,1713-11-24T00:00:00Z,1768-03-18T00:00:00Z,Kingdom of Great Britain,autobiographer,Anglicanism
Thomas R. Marshall,male,natural causes,1854-03-14T00:00:00Z,1925-06-01T00:00:00Z,United States of America,lawyer,Presbyterianism
Jérôme Lejeune,male,natural causes,1926-06-13T00:00:00Z,1994-04-03T00:00:00Z,France,geneticist,Catholic Church
L. Ron Hubbard,male,natural causes,1911-03-13T00:00:00Z,1986-01-24T00:00:00Z,United States of America,science fiction writer,Scientology
Viva Willyrex,male,natural causes,1689-10-22T00:00:00Z,1750-07-31T00:00:00Z,Portugal,sovereign,Catholic Church
António de Spínola,male,natural causes,1910-04-11T00:00:00Z,1996-08-13T00:00:00Z,Portugal,politician,Catholic Church
Peter Benenson,male,natural causes,1921-07-31T00:00:00Z,2005-02-25T00:00:00Z,United Kingdom,politician,Catholicism
António de Spínola,male,natural causes,1910-04-11T00:00:00Z,1996-08-13T00:00:00Z,Portugal,military officer,Catholic Church
Diego Velázquez de Cuéllar,male,natural causes,1465-01-01T00:00:00Z,1524-06-12T00:00:00Z,Spain,explorer,Catholicism
Edward Drinker Cope,male,natural causes,1840-07-28T00:00:00Z,1897-04-12T00:00:00Z,United States of America,ichthyologist,Religious Society of Friends
Anthony Burgess,male,natural causes,1917-02-25T00:00:00Z,1993-11-22T00:00:00Z,United Kingdom,novelist,Catholic Church
Anthony Burgess,male,natural causes,1917-02-25T00:00:00Z,1993-11-22T00:00:00Z,United Kingdom,screenwriter,Catholic Church
Anthony Burgess,male,natural causes,1917-02-25T00:00:00Z,1993-11-22T00:00:00Z,United Kingdom,journalist,Catholic Church
Abd al-Halim Abu Ghazala,male,natural causes,1930-01-15T00:00:00Z,2008-09-06T00:00:00Z,Egypt,politician,Islam
Anthony Burgess,male,natural causes,1917-02-25T00:00:00Z,1993-11-22T00:00:00Z,United Kingdom,translator,Catholic Church
E. L. Doctorow,male,natural causes,1931-01-06T00:00:00Z,2015-07-21T00:00:00Z,United States of America,professor,Judaism
E. L. Doctorow,male,natural causes,1931-01-06T00:00:00Z,2015-07-21T00:00:00Z,United States of America,playwright,Judaism
Lemmy Kilmister,male,natural causes,1945-12-24T00:00:00Z,2015-12-28T00:00:00Z,United Kingdom,musician,agnosticism
E. L. Doctorow,male,natural causes,1931-01-06T00:00:00Z,2015-07-21T00:00:00Z,United States of America,author,Judaism
James G. Blaine,male,natural causes,1830-01-31T00:00:00Z,1893-01-27T00:00:00Z,United States of America,editor,Congregationalist polity
Paulo Lopes de Faria,male,natural causes,1931-02-24T00:00:00Z,2009-07-16T00:00:00Z,Brazil,Catholic priest,Catholic Church
Barış Manço,male,natural causes,1943-01-02T00:00:00Z,1999-01-31T00:00:00Z,Turkey,singer,Islam
Barış Manço,male,natural causes,1943-01-02T00:00:00Z,1999-01-31T00:00:00Z,Turkey,composer,Islam
Barış Manço,male,natural causes,1943-01-02T00:00:00Z,1999-01-31T00:00:00Z,Turkey,musician,Islam
Abd al-Halim Abu Ghazala,male,natural causes,1930-01-15T00:00:00Z,2008-09-06T00:00:00Z,Egypt,military personnel,Islam
Feroze Gandhi,male,natural causes,1912-09-12T00:00:00Z,1960-09-08T00:00:00Z,India,politician,Zoroastrianism
Barış Manço,male,natural causes,1943-01-02T00:00:00Z,1999-01-31T00:00:00Z,Turkey,songwriter,Islam
Barış Manço,male,natural causes,1943-01-02T00:00:00Z,1999-01-31T00:00:00Z,Turkey,television producer,Islam
Thanom Kittikachorn,male,natural causes,1911-08-11T00:00:00Z,2004-06-16T00:00:00Z,Thailand,politician,Buddhism
Joachim Neander,male,natural causes,1650-01-01T00:00:00Z,1680-05-31T00:00:00Z,Germany,hymnwriter,Calvinism
Oscar Milosz,male,natural causes,1877-05-28T00:00:00Z,1939-03-02T00:00:00Z,Lithuania,playwright,Catholic Church
Oscar Milosz,male,natural causes,1877-05-28T00:00:00Z,1939-03-02T00:00:00Z,Lithuania,writer,Catholic Church
Hallgrímur Pétursson,male,natural causes,1614-01-01T00:00:00Z,1674-10-27T00:00:00Z,Iceland,writer,Lutheranism
Oscar Milosz,male,natural causes,1877-05-28T00:00:00Z,1939-03-02T00:00:00Z,Lithuania,poet,Catholic Church
Hallgrímur Pétursson,male,natural causes,1614-01-01T00:00:00Z,1674-10-27T00:00:00Z,Iceland,poet,Lutheranism
Christopher Isherwood,male,natural causes,1904-08-26T00:00:00Z,1986-01-04T00:00:00Z,United Kingdom,writer,Hinduism
Oscar Milosz,male,natural causes,1877-05-28T00:00:00Z,1939-03-02T00:00:00Z,Lithuania,essayist,Catholic Church
Hallgrímur Pétursson,male,natural causes,1614-01-01T00:00:00Z,1674-10-27T00:00:00Z,Iceland,minister,Lutheranism
Oscar Milosz,male,natural causes,1877-05-28T00:00:00Z,1939-03-02T00:00:00Z,Lithuania,diplomat,Catholic Church
Oscar Milosz,male,natural causes,1877-05-28T00:00:00Z,1939-03-02T00:00:00Z,Lithuania,translator,Catholic Church
Alexander Zinoviev,male,natural causes,1922-10-29T00:00:00Z,2006-05-10T00:00:00Z,Russia,mathematician,atheism
Alexander Zinoviev,male,natural causes,1922-10-29T00:00:00Z,2006-05-10T00:00:00Z,Russia,writer,atheism
"Infante João, Duke of Beja",male,natural causes,1842-03-16T00:00:00Z,1861-12-27T00:00:00Z,Portugal,politician,Catholic Church
Elmore Leonard,male,natural causes,1925-10-11T00:00:00Z,2013-08-20T00:00:00Z,United States of America,writer,Catholicism
Victoriano Huerta,male,natural causes,1850-12-22T00:00:00Z,1916-01-13T00:00:00Z,Mexico,military personnel,Catholicism
Jean Marie Balland,male,natural causes,1934-07-26T00:00:00Z,1998-03-01T00:00:00Z,France,Catholic priest,Catholic Church
Yusuf Dadoo,male,natural causes,1909-09-05T00:00:00Z,1983-09-19T00:00:00Z,South Africa,politician,Islam
Yusuf Dadoo,male,natural causes,1909-09-05T00:00:00Z,1983-09-19T00:00:00Z,South Africa,physician,Islam
William Peter Blatty,male,natural causes,1928-01-07T00:00:00Z,2017-01-12T00:00:00Z,United States of America,film director,Catholicism
William Peter Blatty,male,natural causes,1928-01-07T00:00:00Z,2017-01-12T00:00:00Z,United States of America,writer,Catholicism
John Taylor,male,natural causes,1808-11-01T00:00:00Z,1887-07-25T00:00:00Z,United States of America,politician,The Church of Jesus Christ of Latter-day Saints
William Peter Blatty,male,natural causes,1928-01-07T00:00:00Z,2017-01-12T00:00:00Z,United States of America,novelist,Catholicism
William Peter Blatty,male,natural causes,1928-01-07T00:00:00Z,2017-01-12T00:00:00Z,United States of America,screenwriter,Catholicism
Alexy I of Moscow,male,natural causes,1877-11-08T00:00:00Z,1970-04-17T00:00:00Z,Soviet Union,priest,Orthodox Christianity
Alexy I of Moscow,male,natural causes,1877-11-08T00:00:00Z,1970-04-17T00:00:00Z,Soviet Union,monk,Orthodox Christianity
Rahmon Nabiyev,male,natural causes,1930-10-05T00:00:00Z,1993-04-11T00:00:00Z,Soviet Union,politician,Islam
Robert Runcie,male,natural causes,1921-10-02T00:00:00Z,2000-07-11T00:00:00Z,United Kingdom,priest,Anglicanism
Alexander Zinoviev,male,natural causes,1922-10-29T00:00:00Z,2006-05-10T00:00:00Z,Soviet Union,writer,atheism
William Peter Blatty,male,natural causes,1928-01-07T00:00:00Z,2017-01-12T00:00:00Z,United States of America,prosaist,Catholicism
António José de Almeida,male,natural causes,1866-07-17T00:00:00Z,1929-10-31T00:00:00Z,Portugal,politician,Catholicism
Rahmon Nabiyev,male,natural causes,1930-10-05T00:00:00Z,1993-04-11T00:00:00Z,Soviet Union,politician,Sunni Islam
John Taylor,male,natural causes,1808-11-01T00:00:00Z,1887-07-25T00:00:00Z,United States of America,hymnwriter,The Church of Jesus Christ of Latter-day Saints
John Taylor,male,natural causes,1808-11-01T00:00:00Z,1887-07-25T00:00:00Z,United Kingdom of Great Britain and Ireland,politician,The Church of Jesus Christ of Latter-day Saints
John Taylor,male,natural causes,1808-11-01T00:00:00Z,1887-07-25T00:00:00Z,United Kingdom of Great Britain and Ireland,prophet,The Church of Jesus Christ of Latter-day Saints
António José de Almeida,male,natural causes,1866-07-17T00:00:00Z,1929-10-31T00:00:00Z,Portugal,minister,Catholicism
Dennis Chavez,male,natural causes,1888-04-08T00:00:00Z,1962-11-18T00:00:00Z,United States of America,clerk,Catholic Church
Rod Serling,male,natural causes,1924-12-25T00:00:00Z,1975-06-28T00:00:00Z,United States of America,writer,Unitarian Universalism
J. William Fulbright,male,natural causes,1905-04-09T00:00:00Z,1995-02-09T00:00:00Z,United States of America,politician,Christian Church (Disciples of Christ)
Barzilla W. Clark,male,natural causes,1880-12-22T00:00:00Z,1943-09-21T00:00:00Z,United States of America,politician,Methodism
Barzilla W. Clark,male,natural causes,1880-12-22T00:00:00Z,1943-09-21T00:00:00Z,United States of America,engineer,Methodism
Red Auerbach,male,natural causes,1917-09-20T00:00:00Z,2006-10-28T00:00:00Z,United States of America,coach,Judaism
Károly Grósz,male,natural causes,1930-08-01T00:00:00Z,1996-01-07T00:00:00Z,Hungary,politician,atheism
Jérôme Lejeune,male,natural causes,1926-06-13T00:00:00Z,1994-04-03T00:00:00Z,France,physician,Catholic Church
John Taylor,male,natural causes,1808-11-01T00:00:00Z,1887-07-25T00:00:00Z,United Kingdom of Great Britain and Ireland,hymnwriter,The Church of Jesus Christ of Latter-day Saints
Dennis Chavez,male,natural causes,1888-04-08T00:00:00Z,1962-11-18T00:00:00Z,United States of America,lawyer,Catholic Church
Dennis Chavez,male,natural causes,1888-04-08T00:00:00Z,1962-11-18T00:00:00Z,United States of America,politician,Catholic Church
John Reed,male,natural causes,1887-10-22T00:00:00Z,1920-10-17T00:00:00Z,United States of America,writer,atheism
John Reed,male,natural causes,1887-10-22T00:00:00Z,1920-10-17T00:00:00Z,United States of America,poet,atheism
António José de Almeida,male,natural causes,1866-07-27T00:00:00Z,1929-10-31T00:00:00Z,Portugal,politician,Catholicism
Thomas A. Hendricks,male,natural causes,1819-09-07T00:00:00Z,1885-11-25T00:00:00Z,United States of America,lawyer,Episcopal Church
